Round,Date,Team 1,Team 2,FT
1,1890,Everton,Accrington F.C.,03-Feb
1,1890,Notts County,Accrington F.C.,5-0
1,1890,Preston North End,Accrington F.C.,01-Jan
1,1890,Sunderland,Accrington F.C.,02-Feb
1,1890,West Bromwich Albion,Accrington F.C.,05-Jan
1,1890,Wolverhampton Wanderers,Accrington F.C.,3-0
1,1890,Accrington F.C.,Aston Villa,01-Mar
1,1890,Blackburn Rovers,Aston Villa,05-Jan
1,1890,Bolton Wanderers,Aston Villa,4-0
1,1890,Burnley,Aston Villa,02-Jan
1,1890,Derby County,Aston Villa,05-Apr
1,1890,Everton,Aston Villa,5-0
1,1890,Notts County,Aston Villa,07-Jan
1,1890,Preston North End,Aston Villa,04-Jan
1,1890,Sunderland,Aston Villa,05-Jan
1,1890,West Bromwich Albion,Aston Villa,0-3
1,1890,Wolverhampton Wanderers,Aston Villa,02-Jan
1,1890,Accrington F.C.,Blackburn Rovers,0-4
1,1890,Aston Villa,Blackburn Rovers,02-Feb
1,1890,Bolton Wanderers,Blackburn Rovers,2-0
1,1890,Burnley,Blackburn Rovers,01-Jun
1,1890,Derby County,Blackburn Rovers,08-May
1,1890,Everton,Blackburn Rovers,03-Jan
1,1890,Notts County,Blackburn Rovers,01-Feb
1,1890,Preston North End,Blackburn Rovers,01-Feb
1,1890,Sunderland,Blackburn Rovers,03-Jan
1,1890,West Bromwich Albion,Blackburn Rovers,1-0
1,1890,Wolverhampton Wanderers,Blackburn Rovers,2-0
1,1890,Accrington F.C.,Bolton Wanderers,02-Jan
1,1890,Aston Villa,Bolton Wanderers,5-0
1,1890,Blackburn Rovers,Bolton Wanderers,0-2
1,1890,Burnley,Bolton Wanderers,01-Feb
1,1890,Derby County,Bolton Wanderers,01-Jan
1,1890,Everton,Bolton Wanderers,2-0
1,1890,Notts County,Bolton Wanderers,03-Jan
1,1890,Preston North End,Bolton Wanderers,1-0
1,1890,Sunderland,Bolton Wanderers,2-0
1,1890,West Bromwich Albion,Bolton Wanderers,02-Apr
1,1890,Wolverhampton Wanderers,Bolton Wanderers,1-0
1,1890,Accrington F.C.,Burnley,01-Jan
1,1890,Aston Villa,Burnley,04-Apr
1,1890,Blackburn Rovers,Burnley,05-Feb
1,1890,Bolton Wanderers,Burnley,1-0
1,1890,Derby County,Burnley,02-Apr
1,1890,Everton,Burnley,07-Mar
1,1890,Notts County,Burnley,4-0
1,1890,Preston North End,Burnley,7-0
1,1890,Sunderland,Burnley,02-Mar
1,1890,West Bromwich Albion,Burnley,03-Jan
1,1890,Wolverhampton Wanderers,Burnley,03-Jan
1,1890,Accrington F.C.,Derby County,4-0
1,1890,Aston Villa,Derby County,4-0
1,1890,Blackburn Rovers,Derby County,8-0
1,1890,Bolton Wanderers,Derby County,03-Jan
1,1890,Burnley,Derby County,06-Jan
1,1890,Everton,Derby County,7-0
1,1890,Notts County,Derby County,02-Jan
1,1890,Preston North End,Derby County,6-0
1,1890,Sunderland,Derby County,05-Jan
1,1890,West Bromwich Albion,Derby County,03-Apr
1,1890,Wolverhampton Wanderers,Derby County,05-Jan
1,1890,Accrington F.C.,Everton,01-Feb
1,1890,Aston Villa,Everton,02-Feb
1,1890,Blackburn Rovers,Everton,02-Jan
1,1890,Bolton Wanderers,Everton,0-5
1,1890,Burnley,Everton,03-Feb
1,1890,Derby County,Everton,02-Jun
1,1890,Notts County,Everton,03-Jan
1,1890,Preston North End,Everton,2-0
1,1890,Sunderland,Everton,1-0
1,1890,West Bromwich Albion,Everton,01-Apr
1,1890,Wolverhampton Wanderers,Everton,0-1
1,1890,Accrington F.C.,Notts County,03-Feb
1,1890,Aston Villa,Notts County,03-Feb
1,1890,Blackburn Rovers,Notts County,01-Jul
1,1890,Bolton Wanderers,Notts County,04-Feb
1,1890,Burnley,Notts County,0-1
1,1890,Derby County,Notts County,03-Jan
1,1890,Everton,Notts County,04-Feb
1,1890,Preston North End,Notts County,0-0
1,1890,Sunderland,Notts County,4-0
1,1890,West Bromwich Albion,Notts County,01-Jan
1,1890,Wolverhampton Wanderers,Notts County,01-Jan
1,1890,Accrington F.C.,Preston North End,01-Mar
1,1890,Aston Villa,Preston North End,0-1
1,1890,Blackburn Rovers,Preston North End,1-0
1,1890,Bolton Wanderers,Preston North End,1-0
1,1890,Burnley,Preston North End,06-Feb
1,1890,Derby County,Preston North End,01-Mar
1,1890,Everton,Preston North End,0-1
1,1890,Notts County,Preston North End,02-Jan
1,1890,Sunderland,Preston North End,3-0
1,1890,West Bromwich Albion,Preston North End,01-Mar
1,1890,Wolverhampton Wanderers,Preston North End,2-0
1,1890,Accrington F.C.,Sunderland,04-Jan
1,1890,Aston Villa,Sunderland,0-0
1,1890,Blackburn Rovers,Sunderland,03-Feb
1,1890,Bolton Wanderers,Sunderland,2-5
1,1890,Burnley,Sunderland,3-3
1,1890,Derby County,Sunderland,3-1
1,1890,Everton,Sunderland,1-0
1,1890,Notts County,Sunderland,2-1
1,1890,Preston North End,Sunderland,0-0
1,1890,West Bromwich Albion,Sunderland,0-4
1,1890,Wolverhampton Wanderers,Sunderland,0-3
1,1890,Accrington F.C.,West Bromwich Albion,1-0
1,1890,Aston Villa,West Bromwich Albion,0-4
1,1890,Blackburn Rovers,West Bromwich Albion,02-Jan
1,1890,Bolton Wanderers,West Bromwich Albion,07-Jan
1,1890,Burnley,West Bromwich Albion,05-Apr
1,1890,Derby County,West Bromwich Albion,03-Jan
1,1890,Everton,West Bromwich Albion,02-Mar
1,1890,Notts County,West Bromwich Albion,03-Feb
