Round,Date,Team 1,Team 2,FT
2,1893,Port Vale,Birmingham City,5-0
2,1893,Rotherham Town,Birmingham City,02-Mar
2,1893,Walsall,Birmingham City,01-Mar
2,1893,Arsenal,Burton Swifts,0-2
2,1893,Birmingham City,Burton Swifts,06-Jan
2,1893,Crewe Alexandra,Burton Swifts,01-Feb
2,1893,Grimsby Town,Burton Swifts,02-Jan
2,1893,Lincoln City,Burton Swifts,01-Jan
2,1893,Liverpool,Burton Swifts,03-Jan
2,1893,Manchester City,Burton Swifts,01-Apr
2,1893,Middlesbrough Ironopolis,Burton Swifts,02-Jan
2,1893,Newcastle United,Burton Swifts,04-Jan
2,1893,Northwich Victoria,Burton Swifts,01-Jan
2,1893,Notts County,Burton Swifts,06-Feb
2,1893,Port Vale,Burton Swifts,03-Jan
2,1893,Rotherham Town,Burton Swifts,02-May
2,1893,Walsall,Burton Swifts,03-Apr
2,1893,Arsenal,Crewe Alexandra,03-Feb
2,1893,Birmingham City,Crewe Alexandra,06-Jan
2,1893,Burton Swifts,Crewe Alexandra,06-Jan
2,1893,Grimsby Town,Crewe Alexandra,03-Feb
2,1893,Lincoln City,Crewe Alexandra,06-Jan
2,1893,Liverpool,Crewe Alexandra,2-0
2,1893,Manchester City,Crewe Alexandra,01-Feb
2,1893,Middlesbrough Ironopolis,Crewe Alexandra,2-0
2,1893,Newcastle United,Crewe Alexandra,02-Jan
2,1893,Northwich Victoria,Crewe Alexandra,01-Feb
2,1893,Notts County,Crewe Alexandra,09-Jan
2,1893,Port Vale,Crewe Alexandra,04-Feb
2,1893,Rotherham Town,Crewe Alexandra,01-Apr
2,1893,Walsall,Crewe Alexandra,05-Jan
2,1893,Arsenal,Grimsby Town,03-Jan
2,1893,Birmingham City,Grimsby Town,05-Feb
2,1893,Burton Swifts,Grimsby Town,0-3
2,1893,Crewe Alexandra,Grimsby Town,03-Mar
2,1893,Lincoln City,Grimsby Town,01-Feb
2,1893,Liverpool,Grimsby Town,2-0
2,1893,Manchester City,Grimsby Town,04-Jan
2,1893,Middlesbrough Ironopolis,Grimsby Town,02-Jun
2,1893,Newcastle United,Grimsby Town,04-Jan
2,1893,Northwich Victoria,Grimsby Town,0-1
2,1893,Notts County,Grimsby Town,3-0
2,1893,Port Vale,Grimsby Town,06-Jan
2,1893,Rotherham Town,Grimsby Town,04-Mar
2,1893,Walsall,Grimsby Town,5-0
2,1893,Arsenal,Lincoln City,4-0
2,1893,Birmingham City,Lincoln City,6-0
2,1893,Burton Swifts,Lincoln City,01-Mar
2,1893,Crewe Alexandra,Lincoln City,01-Jan
2,1893,Grimsby Town,Lincoln City,02-Apr
2,1893,Liverpool,Lincoln City,4-0
2,1893,Manchester City,Lincoln City,0-1
2,1893,Middlesbrough Ironopolis,Lincoln City,0-0
2,1893,Newcastle United,Lincoln City,05-Jan
2,1893,Northwich Victoria,Lincoln City,0-3
2,1893,Notts County,Lincoln City,01-Feb
2,1893,Port Vale,Lincoln City,05-Mar
2,1893,Rotherham Town,Lincoln City,02-Aug
2,1893,Walsall,Lincoln City,05-Feb
2,1893,Arsenal,Liverpool,0-5
2,1893,Birmingham City,Liverpool,03-Apr
2,1893,Burton Swifts,Liverpool,01-Jan
2,1893,Crewe Alexandra,Liverpool,0-5
2,1893,Grimsby Town,Liverpool,0-1
2,1893,Lincoln City,Liverpool,01-Jan
2,1893,Manchester City,Liverpool,0-1
2,1893,Middlesbrough Ironopolis,Liverpool,0-2
2,1893,Newcastle United,Liverpool,0-0
2,1893,Northwich Victoria,Liverpool,02-Mar
2,1893,Notts County,Liverpool,01-Jan
2,1893,Port Vale,Liverpool,02-Feb
2,1893,Rotherham Town,Liverpool,01-Apr
2,1893,Walsall,Liverpool,01-Jan
2,1893,Arsenal,Manchester City,1-0
2,1893,Birmingham City,Manchester City,10-Feb
2,1893,Burton Swifts,Manchester City,5-0
2,1893,Crewe Alexandra,Manchester City,01-Jan
2,1893,Grimsby Town,Manchester City,5-0
2,1893,Lincoln City,Manchester City,6-0
2,1893,Liverpool,Manchester City,3-0
2,1893,Middlesbrough Ironopolis,Manchester City,2-0
2,1893,Newcastle United,Manchester City,02-Jan
2,1893,Northwich Victoria,Manchester City,01-Apr
2,1893,Notts County,Manchester City,5-0
2,1893,Port Vale,Manchester City,04-Feb
2,1893,Rotherham Town,Manchester City,01-Mar
2,1893,Walsall,Manchester City,05-Feb
2,1893,Arsenal,Middlesbrough Ironopolis,1-0
2,1893,Birmingham City,Middlesbrough Ironopolis,02-Jan
2,1893,Burton Swifts,Middlesbrough Ironopolis,7-0
2,1893,Crewe Alexandra,Middlesbrough Ironopolis,5-0
2,1893,Grimsby Town,Middlesbrough Ironopolis,02-Jan
2,1893,Lincoln City,Middlesbrough Ironopolis,02-Mar
2,1893,Liverpool,Middlesbrough Ironopolis,6-0
2,1893,Manchester City,Middlesbrough Ironopolis,06-Jan
2,1893,Newcastle United,Middlesbrough Ironopolis,07-Feb
2,1893,Northwich Victoria,Middlesbrough Ironopolis,02-Jan
2,1893,Notts County,Middlesbrough Ironopolis,3-0
2,1893,Port Vale,Middlesbrough Ironopolis,4-0
2,1893,Rotherham Town,Middlesbrough Ironopolis,04-Jan
2,1893,Walsall,Middlesbrough Ironopolis,1-0
2,1893,Arsenal,Newcastle United,02-Feb
2,1893,Birmingham City,Newcastle United,01-Apr
2,1893,Burton Swifts,Newcastle United,03-Jan
2,1893,Crewe Alexandra,Newcastle United,01-Jan
2,1893,Grimsby Town,Newcastle United,0-0
2,1893,Lincoln City,Newcastle United,02-Jan
2,1893,Liverpool,Newcastle United,05-Jan
2,1893,Manchester City,Newcastle United,02-Mar
2,1893,Middlesbrough Ironopolis,Newcastle United,01-Jan
2,1893,Northwich Victoria,Newcastle United,05-Mar
2,1893,Notts County,Newcastle United,03-Jan
2,1893,Port Vale,Newcastle United,01-Jan
2,1893,Rotherham Town,Newcastle United,02-Jan
2,1893,Walsall,Newcastle United,01-Feb
2,1893,Arsenal,Northwich Victoria,6-0
2,1893,Birmingham City,Northwich Victoria,8-0
2,1893,Burton Swifts,Northwich Victoria,06-Feb
2,1893,Crewe Alexandra,Northwich Victoria,3-0
2,1893,Grimsby Town,Northwich Victoria,7-0
2,1893,Lincoln City,Northwich Victoria,04-Jan
2,1893,Liverpool,Northwich Victoria,4-0
2,1893,Manchester City,Northwich Victoria,04-Feb
2,1893,Middlesbrough Ironopolis,Northwich Victoria,02-Jan
2,1893,Newcastle United,Northwich Victoria,3-0
2,1893,Notts County,Northwich Victoria,06-Jan
2,1893,Port Vale,Northwich Victoria,03-Feb
2,1893,Rotherham Town,Northwich Victoria,05-Apr
2,1893,Walsall,Northwich Victoria,3-0
2,1893,Arsenal,Notts County,01-Feb
2,1893,Birmingham City,Notts County,3-0
2,1893,Burton Swifts,Notts County,0-2
2,1893,Crewe Alexandra,Notts County,0-2
2,1893,Grimsby Town,Notts County,05-Feb
2,1893,Lincoln City,Notts County,0-2
2,1893,Liverpool,Notts County,02-Jan
2,1893,Manchester City,Notts County,0-0
2,1893,Middlesbrough Ironopolis,Notts County,0-0
2,1893,Newcastle United,Notts County,3-0
2,1893,Northwich Victoria,Notts County,0-1
2,1893,Port Vale,Notts County,1-0
2,1893,Rotherham Town,Notts County,0-2
2,1893,Walsall,Notts County,02-Jan
2,1893,Arsenal,Port Vale,04-Jan
2,1893,Birmingham City,Port Vale,6-0
2,1893,Burton Swifts,Port Vale,05-Mar
2,1893,Crewe Alexandra,Port Vale,01-Jan
2,1893,Grimsby Town,Port Vale,4-0
2,1893,Lincoln City,Port Vale,02-Feb
2,1893,Liverpool,Port Vale,02-Jan
2,1893,Manchester City,Port Vale,08-Jan
2,1893,Middlesbrough Ironopolis,Port Vale,03-Jan
2,1893,Newcastle United,Port Vale,02-Jan
2,1893,Northwich Victoria,Port Vale,01-May
2,1893,Notts County,Port Vale,06-Jan
2,1893,Rotherham Town,Port Vale,0-1
2,1893,Walsall,Port Vale,0-5
2,1893,Arsenal,Rotherham Town,3-0
2,1893,Birmingham City,Rotherham Town,04-Mar
2,1893,Burton Swifts,Rotherham Town,04-Jan
2,1893,Crewe Alexandra,Rotherham Town,2-0
2,1893,Grimsby Town,Rotherham Town,07-Jan
2,1893,Lincoln City,Rotherham Town,01-Jan
2,1893,Liverpool,Rotherham Town,05-Jan
2,1893,Manchester City,Rotherham Town,03-Feb
2,1893,Middlesbrough Ironopolis,Rotherham Town,06-Jan
2,1893,Newcastle United,Rotherham Town,4-0
2,1893,Northwich Victoria,Rotherham Town,01-Jan
2,1893,Notts County,Rotherham Town,04-Feb
2,1893,Port Vale,Rotherham Town,02-Mar
2,1893,Walsall,Rotherham Town,3-0
2,1893,Arsenal,Walsall,4-0
2,1893,Birmingham City,Walsall,4-0
2,1893,Burton Swifts,Walsall,08-May
2,1893,Crewe Alexandra,Walsall,01-Jan
2,1893,Grimsby Town,Walsall,05-Feb
2,1893,Lincoln City,Walsall,0-2
2,1893,Liverpool,Walsall,3-0
2,1893,Manchester City,Walsall,3-0
2,1893,Middlesbrough Ironopolis,Walsall,01-Jan
2,1893,Newcastle United,Walsall,2-0
2,1893,Northwich Victoria,Walsall,1-0
2,1893,Notts County,Walsall,2-0
2,1893,Port Vale,Walsall,01-Feb
2,1893,Rotherham Town,Walsall,03-Feb
1,1894,Birmingham City,Aston Villa,02-Feb
1,1894,Blackburn Rovers,Aston Villa,01-Mar
1,1894,Bolton Wanderers,Aston Villa,04-Mar
1,1894,Burnley,Aston Villa,03-Mar
1,1894,Derby County,Aston Villa,0-2
1,1894,Everton,Aston Villa,04-Feb
1,1894,Liverpool,Aston Villa,01-Feb
1,1894,Nottingham Forest,Aston Villa,02-Jan
1,1894,Preston North End,Aston Villa,0-1
1,1894,Sheffield United,Aston Villa,02-Jan
1,1894,Sheffield Wednesday,Aston Villa,1-0
1,1894,Stoke City,Aston Villa,04-Jan
1,1894,Sunderland,Aston Villa,04-Apr
1,1894,West Bromwich Albion,Aston Villa,03-Feb
1,1894,Wolverhampton Wanderers,Aston Villa,0-4
1,1894,Aston Villa,Birmingham City,02-Jan
1,1894,Blackburn Rovers,Birmingham City,09-Jan
1,1894,Bolton Wanderers,Birmingham City,01-Feb
1,1894,Burnley,Birmingham City,03-Jan
1,1894,Derby County,Birmingham City,04-Jan
1,1894,Everton,Birmingham City,5-0
1,1894,Liverpool,Birmingham City,03-Jan
1,1894,Nottingham Forest,Birmingham City,2-0
1,1894,Preston North End,Birmingham City,0-1
1,1894,Sheffield United,Birmingham City,0-2
1,1894,Sheffield Wednesday,Birmingham City,2-0
1,1894,Stoke City,Birmingham City,02-Feb
1,1894,Sunderland,Birmingham City,07-Jan
1,1894,West Bromwich Albion,Birmingham City,04-Jan
1,1894,Wolverhampton Wanderers,Birmingham City,02-Jan
1,1894,Aston Villa,Blackburn Rovers,3-0
1,1894,Birmingham City,Blackburn Rovers,01-Jan
1,1894,Bolton Wanderers,Blackburn Rovers,01-Mar
1,1894,Burnley,Blackburn Rovers,02-Jan
1,1894,Derby County,Blackburn Rovers,0-0
1,1894,Everton,Blackburn Rovers,02-Jan
1,1894,Liverpool,Blackburn Rovers,02-Feb
1,1894,Nottingham Forest,Blackburn Rovers,02-Mar
1,1894,Preston North End,Blackburn Rovers,01-Jan
1,1894,Sheffield United,Blackburn Rovers,3-0
1,1894,Sheffield Wednesday,Blackburn Rovers,04-Jan
1,1894,Stoke City,Blackburn Rovers,05-Jan
1,1894,Sunderland,Blackburn Rovers,03-Feb
1,1894,West Bromwich Albion,Blackburn Rovers,2-0
1,1894,Wolverhampton Wanderers,Blackburn Rovers,03-Mar
1,1894,Aston Villa,Bolton Wanderers,02-Jan
1,1894,Birmingham City,Bolton Wanderers,2-0
1,1894,Blackburn Rovers,Bolton Wanderers,02-Jan
1,1894,Burnley,Bolton Wanderers,1-0
1,1894,Derby County,Bolton Wanderers,02-Feb
1,1894,Everton,Bolton Wanderers,03-Jan
1,1894,Liverpool,Bolton Wanderers,01-Feb
1,1894,Nottingham Forest,Bolton Wanderers,03-Mar
1,1894,Preston North End,Bolton Wanderers,02-Feb
1,1894,Sheffield United,Bolton Wanderers,5-0
1,1894,Sheffield Wednesday,Bolton Wanderers,02-Jan
1,1894,Stoke City,Bolton Wanderers,5-0
1,1894,Sunderland,Bolton Wanderers,4-0
1,1894,West Bromwich Albion,Bolton Wanderers,01-Jan
1,1894,Wolverhampton Wanderers,Bolton Wanderers,04-Feb
1,1894,Aston Villa,Burnley,5-0
1,1894,Birmingham City,Burnley,1-0
1,1894,Blackburn Rovers,Burnley,1-0
1,1894,Bolton Wanderers,Burnley,01-Jan
1,1894,Derby County,Burnley,0-2
1,1894,Everton,Burnley,03-Feb
1,1894,Liverpool,Burnley,0-3
1,1894,Nottingham Forest,Burnley,02-Jan
1,1894,Preston North End,Burnley,4-0
1,1894,Sheffield United,Burnley,02-Feb
1,1894,Sheffield Wednesday,Burnley,04-Mar
1,1894,Stoke City,Burnley,05-Jan
1,1894,Sunderland,Burnley,3-0
1,1894,West Bromwich Albion,Burnley,0-1
1,1894,Wolverhampton Wanderers,Burnley,1-0
1,1894,Aston Villa,Derby County,4-0
1,1894,Birmingham City,Derby County,03-May
1,1894,Blackburn Rovers,Derby County,0-0
1,1894,Bolton Wanderers,Derby County,6-0
1,1894,Burnley,Derby County,2-0
1,1894,Everton,Derby County,02-Mar
1,1894,Liverpool,Derby County,05-Jan
1,1894,Nottingham Forest,Derby County,02-Jan
1,1894,Preston North End,Derby County,03-Feb
1,1894,Sheffield United,Derby County,01-Apr
1,1894,Sheffield Wednesday,Derby County,01-Jan
1,1894,Stoke City,Derby County,04-Jan
1,1894,Sunderland,Derby County,8-0
1,1894,West Bromwich Albion,Derby County,02-Feb
1,1894,Wolverhampton Wanderers,Derby County,02-Feb
1,1894,Aston Villa,Everton,02-Feb
1,1894,Birmingham City,Everton,04-Apr
1,1894,Blackburn Rovers,Everton,04-Mar
1,1894,Bolton Wanderers,Everton,01-Mar
1,1894,Burnley,Everton,02-Apr
1,1894,Derby County,Everton,02-Feb
1,1894,Liverpool,Everton,02-Feb
1,1894,Nottingham Forest,Everton,02-Mar
1,1894,Preston North End,Everton,01-Feb
1,1894,Sheffield United,Everton,04-Feb
1,1894,Sheffield Wednesday,Everton,3-0
1,1894,Stoke City,Everton,01-Mar
1,1894,Sunderland,Everton,02-Jan
1,1894,West Bromwich Albion,Everton,01-Apr
1,1894,Wolverhampton Wanderers,Everton,1-0
1,1894,Aston Villa,Liverpool,5-0
1,1894,Birmingham City,Liverpool,3-0
1,1894,Blackburn Rovers,Liverpool,01-Jan
1,1894,Bolton Wanderers,Liverpool,1-0
1,1894,Burnley,Liverpool,03-Mar
1,1894,Derby County,Liverpool,0-1
1,1894,Everton,Liverpool,3-0
1,1894,Nottingham Forest,Liverpool,3-0
1,1894,Preston North End,Liverpool,02-Feb
1,1894,Sheffield United,Liverpool,02-Feb
1,1894,Sheffield Wednesday,Liverpool,5-0
1,1894,Stoke City,Liverpool,03-Jan
1,1894,Sunderland,Liverpool,03-Feb
1,1894,West Bromwich Albion,Liverpool,5-0
1,1894,Wolverhampton Wanderers,Liverpool,03-Jan
1,1894,Aston Villa,Nottingham Forest,04-Jan
1,1894,Birmingham City,Nottingham Forest,01-Feb
1,1894,Blackburn Rovers,Nottingham Forest,0-0
1,1894,Bolton Wanderers,Nottingham Forest,04-Jan
1,1894,Burnley,Nottingham Forest,0-1
1,1894,Derby County,Nottingham Forest,04-Feb
1,1894,Everton,Nottingham Forest,06-Jan
1,1894,Liverpool,Nottingham Forest,5-0
1,1894,Preston North End,Nottingham Forest,03-Jan
1,1894,Sheffield United,Nottingham Forest,03-Feb
1,1894,Sheffield Wednesday,Nottingham Forest,0-0
1,1894,Stoke City,Nottingham Forest,0-3
1,1894,Sunderland,Nottingham Forest,02-Feb
1,1894,West Bromwich Albion,Nottingham Forest,1-0
1,1894,Wolverhampton Wanderers,Nottingham Forest,01-Jan
1,1894,Aston Villa,Preston North End,04-Jan
1,1894,Birmingham City,Preston North End,04-Apr
1,1894,Blackburn Rovers,Preston North End,01-Jan
1,1894,Bolton Wanderers,Preston North End,01-Feb
1,1894,Burnley,Preston North End,02-Jan
1,1894,Derby County,Preston North End,02-Jan
1,1894,Everton,Preston North End,04-Feb
1,1894,Liverpool,Preston North End,02-May
1,1894,Nottingham Forest,Preston North End,0-2
1,1894,Sheffield United,Preston North End,0-1
1,1894,Sheffield Wednesday,Preston North End,03-Jan
1,1894,Stoke City,Preston North End,02-Jan
1,1894,Sunderland,Preston North End,2-0
1,1894,West Bromwich Albion,Preston North End,04-May
1,1894,Wolverhampton Wanderers,Preston North End,01-Mar
1,1894,Aston Villa,Sheffield United,5-0
1,1894,Birmingham City,Sheffield United,04-Feb
1,1894,Blackburn Rovers,Sheffield United,03-Feb
1,1894,Bolton Wanderers,Sheffield United,06-Feb
1,1894,Burnley,Sheffield United,02-Apr
1,1894,Derby County,Sheffield United,04-Jan
1,1894,Everton,Sheffield United,01-Jan
1,1894,Liverpool,Sheffield United,02-Feb
1,1894,Nottingham Forest,Sheffield United,3-0
1,1894,Preston North End,Sheffield United,02-Jan
1,1894,Sheffield Wednesday,Sheffield United,02-Mar
1,1894,Stoke City,Sheffield United,01-Mar
1,1894,Sunderland,Sheffield United,2-0
1,1894,West Bromwich Albion,Sheffield United,1-0
1,1894,Wolverhampton Wanderers,Sheffield United,0-3
1,1894,Aston Villa,Sheffield Wednesday,03-Jan
1,1894,Birmingham City,Sheffield Wednesday,0-0
1,1894,Blackburn Rovers,Sheffield Wednesday,03-Jan
1,1894,Bolton Wanderers,Sheffield Wednesday,02-Feb
1,1894,Burnley,Sheffield Wednesday,3-0
1,1894,Derby County,Sheffield Wednesday,01-Feb
1,1894,Everton,Sheffield Wednesday,03-Jan
1,1894,Liverpool,Sheffield Wednesday,04-Feb
1,1894,Nottingham Forest,Sheffield Wednesday,02-Jan
1,1894,Preston North End,Sheffield Wednesday,03-Jan
1,1894,Sheffield United,Sheffield Wednesday,1-0
1,1894,Stoke City,Sheffield Wednesday,0-2
1,1894,Sunderland,Sheffield Wednesday,03-Jan
1,1894,West Bromwich Albion,Sheffield Wednesday,6-0
1,1894,Wolverhampton Wanderers,Sheffield Wednesday,2-0
1,1894,Aston Villa,Stoke City,6-0
1,1894,Birmingham City,Stoke City,04-Feb
1,1894,Blackburn Rovers,Stoke City,6-0
1,1894,Bolton Wanderers,Stoke City,02-Feb
1,1894,Burnley,Stoke City,01-Feb
1,1894,Derby County,Stoke City,01-Jan
1,1894,Everton,Stoke City,3-0
1,1894,Liverpool,Stoke City,2-0
1,1894,Nottingham Forest,Stoke City,03-Jan
1,1894,Preston North End,Stoke City,3-0
1,1894,Sheffield United,Stoke City,3-0
1,1894,Sheffield Wednesday,Stoke City,02-Apr
1,1894,Sunderland,Stoke City,03-Jan
1,1894,West Bromwich Albion,Stoke City,03-Feb
1,1894,Wolverhampton Wanderers,Stoke City,0-0
1,1894,Aston Villa,Sunderland,01-Feb
1,1894,Birmingham City,Sunderland,01-Jan
1,1894,Blackburn Rovers,Sunderland,01-Jan
1,1894,Bolton Wanderers,Sunderland,04-Jan
1,1894,Burnley,Sunderland,0-3
1,1894,Derby County,Sunderland,01-Feb
1,1894,Everton,Sunderland,02-Feb
1,1894,Liverpool,Sunderland,02-Mar
1,1894,Nottingham Forest,Sunderland,02-Jan
1,1894,Preston North End,Sunderland,1-0
1,1894,Sheffield United,Sunderland,4-0
1,1894,Sheffield Wednesday,Sunderland,01-Feb
1,1894,Stoke City,Sunderland,02-May
1,1894,West Bromwich Albion,Sunderland,0-2
1,1894,Wolverhampton Wanderers,Sunderland,01-Apr
1,1894,Aston Villa,West Bromwich Albion,03-Jan
1,1894,Birmingham City,West Bromwich Albion,01-Feb
1,1894,Blackburn Rovers,West Bromwich Albion,3-0
1,1894,Bolton Wanderers,West Bromwich Albion,5-0
1,1894,Burnley,West Bromwich Albion,2-0
1,1894,Derby County,West Bromwich Albion,01-Jan
1,1894,Everton,West Bromwich Albion,04-Jan
1,1894,Liverpool,West Bromwich Albion,4-0
1,1894,Nottingham Forest,West Bromwich Albion,05-Mar
1,1894,Preston North End,West Bromwich Albion,5-0
1,1894,Sheffield United,West Bromwich Albion,02-Jan
1,1894,Sheffield Wednesday,West Bromwich Albion,03-Feb
1,1894,Stoke City,West Bromwich Albion,01-Jan
1,1894,Sunderland,West Bromwich Albion,3-0
1,1894,Wolverhampton Wanderers,West Bromwich Albion,03-Jan
1,1894,Aston Villa,Wolverhampton Wanderers,02-Feb
1,1894,Birmingham City,Wolverhampton Wanderers,04-Mar
1,1894,Blackburn Rovers,Wolverhampton Wanderers,05-Jan
1,1894,Bolton Wanderers,Wolverhampton Wanderers,06-Jan
1,1894,Burnley,Wolverhampton Wanderers,02-Jan
1,1894,Derby County,Wolverhampton Wanderers,01-Mar
1,1894,Everton,Wolverhampton Wanderers,02-Jan
1,1894,Liverpool,Wolverhampton Wanderers,03-Mar
1,1894,Nottingham Forest,Wolverhampton Wanderers,0-2
1,1894,Preston North End,Wolverhampton Wanderers,2-0
1,1894,Sheffield United,Wolverhampton Wanderers,1-0
1,1894,Sheffield Wednesday,Wolverhampton Wanderers,03-Jan
1,1894,Stoke City,Wolverhampton Wanderers,0-0
1,1894,Sunderland,Wolverhampton Wanderers,2-0
1,1894,West Bromwich Albion,Wolverhampton Wanderers,05-Jan
2,1894,Burton Swifts,Arsenal,3-0
2,1894,Burton Wanderers,Arsenal,02-Jan
2,1894,Bury,Arsenal,2-0
2,1894,Crewe Alexandra,Arsenal,0-0
2,1894,Darwen,Arsenal,03-Jan
2,1894,Grimsby Town,Arsenal,04-Feb
2,1894,Leicester City,Arsenal,03-Jan
2,1894,Lincoln City,Arsenal,05-Feb
2,1894,Manchester City,Arsenal,04-Jan
2,1894,Manchester United,Arsenal,03-Mar
2,1894,Newcastle United,Arsenal,02-Apr
2,1894,Notts County,Arsenal,02-Feb
2,1894,Port Vale,Arsenal,0-1
2,1894,Rotherham Town,Arsenal,01-Feb
2,1894,Walsall,Arsenal,04-Jan
2,1894,Arsenal,Burton Swifts,3-0
2,1894,Burton Wanderers,Burton Swifts,01-Feb
2,1894,Bury,Burton Swifts,2-0
2,1894,Crewe Alexandra,Burton Swifts,01-Mar
2,1894,Darwen,Burton Swifts,5-0
2,1894,Grimsby Town,Burton Swifts,07-Jan
2,1894,Leicester City,Burton Swifts,02-Feb
2,1894,Lincoln City,Burton Swifts,03-Feb
2,1894,Manchester City,Burton Swifts,04-Jan
2,1894,Manchester United,Burton Swifts,05-Jan
2,1894,Newcastle United,Burton Swifts,06-Mar
2,1894,Notts County,Burton Swifts,05-Jan
2,1894,Port Vale,Burton Swifts,2-0
2,1894,Rotherham Town,Burton Swifts,04-Jan
2,1894,Walsall,Burton Swifts,04-Jan
2,1894,Arsenal,Burton Wanderers,01-Jan
2,1894,Burton Swifts,Burton Wanderers,02-Feb
2,1894,Bury,Burton Wanderers,4-0
2,1894,Crewe Alexandra,Burton Wanderers,01-Feb
2,1894,Darwen,Burton Wanderers,2-0
2,1894,Grimsby Town,Burton Wanderers,07-Feb
2,1894,Leicester City,Burton Wanderers,01-Feb
2,1894,Lincoln City,Burton Wanderers,0-2
2,1894,Manchester City,Burton Wanderers,01-Jan
2,1894,Manchester United,Burton Wanderers,01-Jan
2,1894,Newcastle United,Burton Wanderers,03-Jan
2,1894,Notts County,Burton Wanderers,2-0
2,1894,Port Vale,Burton Wanderers,1-0
2,1894,Rotherham Town,Burton Wanderers,01-Mar
2,1894,Walsall,Burton Wanderers,03-Jan
2,1894,Arsenal,Bury,04-Feb
2,1894,Burton Swifts,Bury,0-1
2,1894,Burton Wanderers,Bury,01-Feb
2,1894,Crewe Alexandra,Bury,01-May
2,1894,Darwen,Bury,0-1
2,1894,Grimsby Town,Bury,03-Feb
2,1894,Leicester City,Bury,1-0
2,1894,Lincoln City,Bury,01-Mar
2,1894,Manchester City,Bury,03-Mar
2,1894,Manchester United,Bury,02-Feb
2,1894,Newcastle United,Bury,1-0
2,1894,Notts County,Bury,02-Jan
2,1894,Port Vale,Bury,01-Feb
2,1894,Rotherham Town,Bury,02-Mar
2,1894,Walsall,Bury,0-3
2,1894,Arsenal,Crewe Alexandra,7-0
2,1894,Burton Swifts,Crewe Alexandra,4-0
2,1894,Burton Wanderers,Crewe Alexandra,4-0
2,1894,Bury,Crewe Alexandra,04-Jan
2,1894,Darwen,Crewe Alexandra,5-0
2,1894,Grimsby Town,Crewe Alexandra,5-0
2,1894,Leicester City,Crewe Alexandra,4-0
2,1894,Lincoln City,Crewe Alexandra,05-Feb
2,1894,Manchester City,Crewe Alexandra,04-Jan
2,1894,Manchester United,Crewe Alexandra,06-Jan
2,1894,Newcastle United,Crewe Alexandra,6-0
2,1894,Notts County,Crewe Alexandra,05-Jan
2,1894,Port Vale,Crewe Alexandra,4-0
2,1894,Rotherham Town,Crewe Alexandra,2-0
2,1894,Walsall,Crewe Alexandra,4-0
2,1894,Arsenal,Darwen,4-0
2,1894,Burton Swifts,Darwen,3-0
2,1894,Burton Wanderers,Darwen,02-Feb
2,1894,Bury,Darwen,1-0
2,1894,Crewe Alexandra,Darwen,02-Feb
2,1894,Grimsby Town,Darwen,02-Jan
2,1894,Leicester City,Darwen,02-Jan
2,1894,Lincoln City,Darwen,0-2
2,1894,Manchester City,Darwen,02-Apr
2,1894,Manchester United,Darwen,01-Jan
2,1894,Newcastle United,Darwen,03-Feb
2,1894,Notts County,Darwen,02-Jan
2,1894,Port Vale,Darwen,0-3
2,1894,Rotherham Town,Darwen,04-Jan
2,1894,Walsall,Darwen,05-Jan
2,1894,Arsenal,Grimsby Town,01-Mar
2,1894,Burton Swifts,Grimsby Town,02-Jan
2,1894,Burton Wanderers,Grimsby Town,0-0
2,1894,Bury,Grimsby Town,05-Jan
2,1894,Crewe Alexandra,Grimsby Town,02-Jan
2,1894,Darwen,Grimsby Town,04-Jan
2,1894,Leicester City,Grimsby Town,1-0
2,1894,Lincoln City,Grimsby Town,01-May
2,1894,Manchester City,Grimsby Town,02-May
2,1894,Manchester United,Grimsby Town,2-0
2,1894,Newcastle United,Grimsby Town,01-Apr
2,1894,Notts County,Grimsby Town,03-Feb
2,1894,Port Vale,Grimsby Town,5-0
2,1894,Rotherham Town,Grimsby Town,03-Feb
2,1894,Walsall,Grimsby Town,04-Mar
2,1894,Arsenal,Leicester City,03-Mar
2,1894,Burton Swifts,Leicester City,0-5
2,1894,Burton Wanderers,Leicester City,01-Jan
2,1894,Bury,Leicester City,04-Jan
2,1894,Crewe Alexandra,Leicester City,02-Feb
2,1894,Darwen,Leicester City,08-Feb
2,1894,Grimsby Town,Leicester City,04-Mar
2,1894,Lincoln City,Leicester City,01-Feb
2,1894,Manchester City,Leicester City,01-Jan
2,1894,Manchester United,Leicester City,02-Feb
2,1894,Newcastle United,Leicester City,2-0
2,1894,Notts County,Leicester City,3-0
2,1894,Port Vale,Leicester City,01-Jan
2,1894,Rotherham Town,Leicester City,0-1
2,1894,Walsall,Leicester City,01-Mar
2,1894,Arsenal,Lincoln City,05-Feb
2,1894,Burton Swifts,Lincoln City,06-Jan
2,1894,Burton Wanderers,Lincoln City,04-Jan
2,1894,Bury,Lincoln City,04-Jan
2,1894,Crewe Alexandra,Lincoln City,01-Apr
2,1894,Darwen,Lincoln City,6-0
2,1894,Grimsby Town,Lincoln City,3-0
2,1894,Leicester City,Lincoln City,02-Jan
2,1894,Manchester City,Lincoln City,11-Mar
2,1894,Manchester United,Lincoln City,3-0
2,1894,Newcastle United,Lincoln City,04-Feb
2,1894,Notts County,Lincoln City,3-0
2,1894,Port Vale,Lincoln City,07-Jan
